mode,river,station,target,nse,rmse,mae,crps,cov80,cov90,calib,n
zs512,nak,S02005,toc,0.4972110161418034,0.614695411936544,0.41351299492321386,0.2660088629714377,0.8037135278514589,0.883289124668435,0.009473285335354307,377
zs512,nak,S02005,tn,0.5351873853847711,0.48503398056114805,0.3589015040275356,0.21327204284630927,0.8277634961439588,0.9305912596401028,0.01604847594564818,389
zs512,nak,S02005,tp,0.4972207956088023,0.02066062440439556,0.013090838126158433,0.007602714553549395,0.7851239669421488,0.9035812672176309,0.016883116883116882,363
zs512,nak,S02005,chl-a,0.5330118199197453,13.552160808268365,9.339846253469233,5.396908542010812,0.7722772277227723,0.8985148514851485,0.03005657708628006,404
zs512,nak,S02006,do,0.628619439918014,1.398063377892933,1.0119772230905666,0.5823376865970907,0.7589498806682577,0.8878281622911695,0.01984316399590863,419
zs512,nak,S02006,toc,0.6120031109879737,0.4391508233623444,0.30039679551318704,0.1849237815071476,0.8212290502793296,0.9357541899441341,0.015961691939345577,358
zs512,nak,S02006,tn,0.6828078869694065,0.4049772181670298,0.30073691525526114,0.1858319967992943,0.7532133676092545,0.8611825192802056,0.021226588321703994,389
zs512,nak,S02006,tp,0.5507755559101533,0.011932413756159714,0.006846742305519911,0.0043331799133993565,0.8228882833787466,0.896457765667575,0.02043596730245234,367
zs512,nak,S02006,chl-a,0.32539311514990477,18.22167492985061,11.385500766839746,6.888125429883907,0.7132701421800948,0.8530805687203792,0.03364928909952607,422
zs512,nak,S02007,do,0.6957340191842458,1.386896349259325,1.0379487668292722,0.6155885871517183,0.7870370370370371,0.9074074074074074,0.023148148148148147,432
zs512,nak,S02007,toc,0.09988772732102313,0.5803540321811296,0.3694380341630133,0.2385474565384556,0.8738317757009346,0.9322429906542056,0.029238985313751655,428
zs512,nak,S02007,chl-a,0.3428303145803334,19.0674535732744,12.279419892924766,7.787815638383257,0.7990430622009569,0.8971291866028708,0.00861244019138756,418
zs512,nak,S02008,do,0.6332595797849303,1.4399924014060494,1.075978190153877,0.633634197522775,0.7951219512195122,0.9121951219512195,0.03066202090592336,410
zs512,nak,S02008,toc,0.627447052200478,0.39359388168058695,0.27856465690149124,0.18208735988333638,0.7941176470588235,0.8725490196078431,0.024579831932773084,408
zs512,nak,S02008,chl-a,0.8867207177512516,0.38652033716460604,0.29237857868341305,0.19029776072571516,0.8992805755395683,0.9760191846522782,0.059301130524152104,417
zs512,nak,S02009,do,0.7934414300654772,1.1589781128137857,0.838597273118756,0.5105432093313554,0.8006535947712419,0.9019607843137255,0.02334267040149393,306
zs512,nak,S02009,toc,0.6360984750450804,0.5818210701143075,0.38508430058487303,0.24227574587149373,0.7679180887372014,0.8771331058020477,0.02808386153096049,293
zs512,nak,S02009,tn,0.7959391327800134,0.2911337276164538,0.21499723846442337,0.1347455763304227,0.714828897338403,0.8479087452471483,0.08321564367191744,263
zs512,nak,S02009,tp,0.6910387148032077,0.010627043943324132,0.006890712121398352,0.004289022349199724,0.784688995215311,0.8803827751196173,0.023786739576213252,209
zs512,nak,S02009,chl-a,0.6391767148263544,9.134172849099619,6.650181896817961,4.1000657170923995,0.7818791946308725,0.8825503355704698,0.03643336529242569,298
zs512,nak,S02010,do,0.705437141318676,1.2445280977831887,0.8217365530837302,0.5145458474345952,0.8698630136986302,0.9417808219178082,0.03405088062622309,292
zs512,nak,S02010,toc,0.2308129646232664,1.043667407707096,0.7304591305175607,0.4915618092669848,0.8435897435897436,0.9461538461538461,0.02234432234432235,390
zs512,nak,S02011,do,0.7946962448502742,0.9577405321468456,0.6986624954217187,0.4302837858354823,0.7871148459383753,0.8935574229691877,0.04941976790716287,357
zs512,nak,S02011,toc,0.45375643430208157,0.6248600986032503,0.42058684320416345,0.2648471900827655,0.7357954545454546,0.8238636363636364,0.03952922077922077,352
zs512,nak,S02011,chl-a,-0.038548723310246835,3.981023496732756,2.5798520217014738,1.672540292519425,0.7936046511627907,0.8808139534883721,0.02740863787375417,344
zs512,nak,S02012,do,0.8545536074813774,0.9714565828946184,0.7799380561779968,0.4503959323916897,0.8116279069767441,0.9186046511627907,0.023920265780730914,430
zs512,nak,S02012,toc,0.5357006700748346,0.5995863492317445,0.3910493323465454,0.24592326128645156,0.7754137115839244,0.8936170212765957,0.018574805808848356,423
zs512,nak,S02012,chl-a,0.5319889344793559,9.502102305382834,6.466279598370458,4.026798079766687,0.7617801047120419,0.8664921465968587,0.022213911742707537,382
zs512,nak,S02013,do,0.7869388273229282,0.9298387791497331,0.7014015960030587,0.4130447783484,0.8018433179723502,0.9124423963133641,0.019420671494404202,434
zs512,nak,S02013,toc,0.14099679629971318,0.38713394188940936,0.2722324914791226,0.1748452158198357,0.7638888888888888,0.8634259259259259,0.02711640211640212,432
zs512,nak,S02013,chl-a,0.260850893204178,0.8906605946337817,0.5706495680461936,0.37461782237481067,0.8041958041958042,0.8974358974358975,0.030802530802530807,429
zs512,nak,S02014,do,0.5105205321568056,1.0982679674685711,0.8162726741652441,0.5071793756103833,0.6884735202492211,0.8255451713395638,0.05838896306186024,321
zs512,nak,S02014,toc,0.052275798347816926,0.691716562245187,0.43146123419205146,0.29315559079291376,0.7147540983606557,0.8426229508196721,0.030913348946135823,305
zs512,nak,S02014,tn,0.4744067692408852,0.4716952766645202,0.31173632532320394,0.2006709226216418,0.7896440129449838,0.8737864077669902,0.015164123901987982,309
zs512,nak,S02014,tp,0.060425315837127624,0.008156766355471606,0.004308222424003964,0.002766971620143439,0.8178807947019867,0.8973509933774835,0.04824976348155156,302
zs512,nak,S02014,chl-a,0.537047094165634,0.6311060150122093,0.46713534694071895,0.28267405395448203,0.7957317073170732,0.8902439024390244,0.014024390243902451,328
zs512,nak,S02015,do,0.658547816806714,1.2901337137114002,0.9463465913859805,0.5766211588055243,0.7581967213114754,0.8565573770491803,0.029274004683840744,244
zs512,nak,S02015,toc,0.060973243007901745,0.7817986862394912,0.4844646248986101,0.3042082723935217,0.8033240997229917,0.8947368421052632,0.02671151563118322,361
zs512,nak,S02015,tn,0.3874107908896327,0.4260283454418372,0.2468092258146697,0.16726381772570667,0.7880434782608695,0.8586956521739131,0.04472049689440992,368
zs512,nak,S02015,tp,0.5125891316610017,0.013565193968195416,0.006732051103358888,0.004835431428437315,0.8739495798319328,0.9495798319327731,0.03537414965986392,357
zs512,nak,S02015,chl-a,0.2779613150587329,12.321875667106381,9.095356377073607,5.333745853437447,0.7554945054945055,0.8873626373626373,0.02048665620094192,364
zs512,nak,S02017,do,0.5557655922942402,1.3006400134156229,0.9254015103748353,0.5399687869323978,0.7836065573770492,0.9016393442622951,0.04800936768149885,305
zs512,nak,S02017,toc,0.6094171337108905,0.4214305518274255,0.2887077518449354,0.1751412095294281,0.8025974025974026,0.9090909090909091,0.021335807050092772,385
zs512,nak,S02017,tn,0.7782613047093523,0.3849322305110549,0.2823242348607142,0.1702824839518204,0.7413333333333333,0.8693333333333333,0.020761904761904763,375
zs512,nak,S02017,tp,0.6809888711680376,0.015038062095245058,0.01033188549600022,0.006547766694278998,0.8337595907928389,0.9130434782608695,0.028863719400803782,391
