river,station,target,horizon,n,leg_crps,chr_crps,seas_crps,persist_crps,crps_clim,leg_crps_skill,chr_crps_skill,leg_crps_skill_seas,chr_crps_skill_seas,leg_crps_skill_persist,chr_crps_skill_persist,leg_cov80,chr_cov80,leg_cov90,chr_cov90,leg_nse,chr_nse
nak,S02009,tn,5,230,0.14640411278921114,0.1466474342384094,0.21664181613824202,0.16851160094946818,0.36770071239664154,0.6018389199331114,0.6011771821637928,0.3242112007785758,0.32308804988584605,0.13119267774855714,0.12974873295290346,0.6608695652173913,0.5782608695652174,0.7391304347826086,0.7391304347826086,0.7666474462297894,0.7593557865107723
nak,S02009,toc,1,262,0.20896777033265665,0.12345117714685391,0.42180283988860817,0.16658428211121942,0.53660470197511,0.6105740975367945,0.7699401874555694,0.5045842498646005,0.7073249265475416,-0.2544266943092508,0.25892661911264736,0.6603053435114504,0.6412213740458015,0.7824427480916031,0.7862595419847328,0.7563915427173697,0.8923954450973016
nak,S02009,toc,2,261,0.2516856164952035,0.16510823908059516,0.4207731477082729,0.21366521664311633,0.5377211979640844,0.5319403113581285,0.6929482421267255,0.4018496240408854,0.6076074721501319,-0.17794379660584814,0.22725728747709828,0.6973180076628352,0.7164750957854407,0.789272030651341,0.8122605363984674,0.6593449995177526,0.8232514206230869
nak,S02009,toc,3,260,0.27839046900450465,0.20143699719464472,0.4224433562988881,0.25590944747581634,0.5388593552973632,0.4833708160251238,0.6261788995321718,0.3409992964653533,0.5231621134736852,-0.0878475638567926,0.21285830131894334,0.7115384615384616,0.6961538461538461,0.7961538461538461,0.8346153846153846,0.6155234986721443,0.7511813499134764
nak,S02009,toc,4,260,0.3000448648423073,0.23349160308046393,0.42261655139111337,0.29643918138369874,0.5389650241801494,0.4432943672017998,0.5667778193294799,0.2900304925241115,0.44750956319177015,-0.012163316069684793,0.21234567579566355,0.6961538461538461,0.7346153846153847,0.7923076923076923,0.8269230769230769,0.5657286642995867,0.6814868782377019
nak,S02009,toc,5,259,0.3209700745364916,0.26077901318519675,0.4241165372297397,0.32825790802453175,0.5402191858042081,0.40585213748254223,0.5172718406937309,0.24320311433028285,0.3851241574106897,0.02220154735006563,0.2055666998106016,0.6872586872586872,0.694980694980695,0.7953667953667953,0.8416988416988417,0.5243820025475916,0.6196408192316678
nak,S02009,tp,1,176,0.003424833730904512,0.0025158970632342546,0.006653921713911189,0.00321305014014537,0.00950059205839748,0.639513652427868,0.7351852339549221,0.48529094898362013,0.6218925963654891,-0.06591356546635163,0.21697547392757888,0.7727272727272727,0.5909090909090909,0.8636363636363636,0.7613636363636364,0.7808520193851969,0.916280629064913
nak,S02009,tp,2,175,0.004725042703924918,0.0029966873344944083,0.006765287190232697,0.003923282796233309,0.009542473751366085,0.5048409011082176,0.6859632614587587,0.3015754437229742,0.5570495013395972,-0.20435944828177277,0.23617860599508966,0.7371428571428571,0.7028571428571428,0.8228571428571428,0.7942857142857143,0.661307214989935,0.8781493069059618
nak,S02009,tp,3,175,0.005335403117681617,0.0035433627599813,0.006762241211611721,0.0044942680196792695,0.009542417836702226,0.4408751315457504,0.6286724370470603,0.21100076872147389,0.4760076357677323,-0.18715730666689834,0.21158178718629916,0.7542857142857143,0.7257142857142858,0.8171428571428572,0.8057142857142857,0.6021017761060614,0.8359796795851901
nak,S02009,tp,4,175,0.005668567103718678,0.004024298802681912,0.006774290240069832,0.004986788784317327,0.009552158244506349,0.4065668764460857,0.5787026659659483,0.16322346654278508,0.4059453226733273,-0.13671690317934404,0.19300797031193617,0.7142857142857143,0.7142857142857143,0.8057142857142857,0.8285714285714286,0.5756144213102503,0.7799433428715756
nak,S02009,tp,5,174,0.0061085320847393005,0.0043118077456070865,0.0068393757840913855,0.00530384913166197,0.009618462846320163,0.36491597645705864,0.5517155064692378,0.10685824590192161,0.3695612170285344,-0.15171678777091868,0.18704178068202815,0.7241379310344828,0.7586206896551724,0.7931034482758621,0.8448275862068966,0.5493523551156382,0.756919514274647
nak,S02010,do,1,256,0.4344284812852797,0.15252088597463573,0.7700858386952811,0.5081363997796194,1.282569766089141,0.6612827677905155,0.8810818015461973,0.43587005570533444,0.801943006466598,0.1450553798671127,0.6998426287886784,0.828125,0.9609375,0.91796875,0.97265625,0.6975983244386579,0.9805096619152861
